,Individual_ID,Timestamp,Latitude,Longitude,geometry,hour
201658,OST097,2026-01-05 23:51:07.338133+00:00,-20.845635,16.609817,POINT (667494.3514282904 7694098.728992001),2026-01-05 23:00:00+00:00
201660,OST097,2026-01-06 00:50:48.314903+00:00,-20.843953,16.603736,POINT (666863.380829161 7694291.248858979),2026-01-06 00:00:00+00:00
201665,OST097,2026-01-06 19:51:40.800679+00:00,-20.841213,16.602587,POINT (666746.8272448115 7694595.766590893),2026-01-06 19:00:00+00:00
201673,OST097,2026-01-07 18:51:47.481635+00:00,-20.832535,16.597702,POINT (666247.982418428 7695561.499800597),2026-01-07 18:00:00+00:00
201676,OST097,2026-01-07 20:50:57.252339+00:00,-20.841004,16.596218,POINT (666084.2423277125 7694625.488006312),2026-01-07 20:00:00+00:00
201678,OST097,2026-01-07 21:51:26.279562+00:00,-20.840436,16.597336,POINT (666201.2151460141 7694687.213406544),2026-01-07 21:00:00+00:00
201680,OST097,2026-01-07 22:51:00.209398+00:00,-20.843531,16.600786,POINT (666556.8476042845 7694341.021206645),2026-01-07 22:00:00+00:00
201682,OST097,2026-01-08 19:51:29.039000+00:00,-20.849065,16.605491,POINT (667040.3739722786 7693723.512456525),2026-01-08 19:00:00+00:00
201684,OST097,2026-01-08 20:51:08.759665+00:00,-20.852886,16.606117,POINT (667101.2961591328 7693299.864394892),2026-01-08 20:00:00+00:00
201686,OST097,2026-01-08 21:51:40.497248+00:00,-20.85118,16.608824,POINT (667384.8776872113 7693485.910771246),2026-01-08 21:00:00+00:00
201688,OST097,2026-01-08 22:51:15.995845+00:00,-20.849203,16.614051,POINT (667931.0069644339 7693699.325530594),2026-01-08 22:00:00+00:00
201689,OST097,2026-01-08 23:51:08.252907+00:00,-20.854025,16.617152,POINT (668248.3448076893 7693162.271582282),2026-01-08 23:00:00+00:00
201694,OST097,2026-01-12 17:51:55.350751+00:00,-20.841362,16.596297,POINT (666092.0708249913 7694585.77482495),2026-01-12 17:00:00+00:00
201696,OST097,2026-01-12 18:51:27.486792+00:00,-20.839918,16.595476,POINT (666008.2146000449 7694746.476798117),2026-01-12 18:00:00+00:00
201698,OST097,2026-01-12 19:51:33.263782+00:00,-20.833021,16.598351,POINT (666314.9930084377 7695507.028003963),2026-01-12 19:00:00+00:00
201700,OST097,2026-01-16 19:52:22.926002+00:00,-20.821934,16.598723,POINT (666365.8886377612 7696734.007063955),2026-01-16 19:00:00+00:00
201702,OST097,2026-01-16 20:52:19.270718+00:00,-20.829668,16.59636,POINT (666111.4596599346 7695880.269806478),2026-01-16 20:00:00+00:00
201704,OST097,2026-01-16 21:52:07.310929+00:00,-20.837415,16.598907,POINT (666368.0289595241 7695020.024570879),2026-01-16 21:00:00+00:00
201707,OST097,2026-01-19 19:52:50.579890+00:00,-20.840974,16.601758,POINT (666660.8173309166 7694623.083192561),2026-01-19 19:00:00+00:00
201710,OST097,2026-01-26 19:53:22.239270+00:00,-20.843141,16.60078,POINT (666556.6525111141 7694384.201661965),2026-01-26 19:00:00+00:00
201712,OST097,2026-01-26 20:53:05.634084+00:00,-20.840266,16.602081,POINT (666695.2115437876 7694701.126618262),2026-01-26 20:00:00+00:00
201714,OST097,2026-01-26 21:52:41.231597+00:00,-20.836633,16.602811,POINT (666775.1857145845 7695102.55530849),2026-01-26 21:00:00+00:00
201716,OST097,2026-01-26 22:52:44.264505+00:00,-20.834764,16.60169,POINT (666660.5787500375 7695310.620266497),2026-01-26 22:00:00+00:00
201725,OST097,2026-01-27 18:53:27.113679+00:00,-20.836866,16.601728,POINT (666662.2190920268 7695077.882923562),2026-01-27 18:00:00+00:00
201727,OST097,2026-01-27 19:53:43.221239+00:00,-20.83696,16.602746,POINT (666768.0607335101 7695066.422691919),2026-01-27 19:00:00+00:00
201729,OST097,2026-01-27 20:52:54.263388+00:00,-20.833388,16.606406,POINT (667152.9084441344 7695458.0595241655),2026-01-27 20:00:00+00:00
201731,OST097,2026-01-27 21:53:09.865207+00:00,-20.832753,16.608292,POINT (667349.8949235021 7695526.397261585),2026-01-27 21:00:00+00:00
201733,OST097,2026-01-27 22:53:06.314434+00:00,-20.831911,16.602355,POINT (666732.9297527414 7695625.767874194),2026-01-27 22:00:00+00:00
201737,OST097,2026-01-29 16:53:43.542484+00:00,-20.832141,16.596693,POINT (666143.4034259545 7695606.158087445),2026-01-29 16:00:00+00:00
201739,OST097,2026-01-29 17:53:31.375133+00:00,-20.836899,16.594984,POINT (665960.3228886365 7695081.196152611),2026-01-29 17:00:00+00:00
201741,OST097,2026-01-29 18:52:59.243424+00:00,-20.841074,16.596538,POINT (666117.4675155232 7694617.408598531),2026-01-29 18:00:00+00:00
201744,OST097,2026-01-29 19:53:00.266847+00:00,-20.841751,16.597078,POINT (666172.9212277882 7694541.905291101),2026-01-29 19:00:00+00:00
201747,OST097,2026-01-29 20:53:49.035627+00:00,-20.843178,16.600806,POINT (666559.3175374717 7694380.07873863),2026-01-29 20:00:00+00:00
201749,OST097,2026-01-31 15:53:52.300951+00:00,-20.848041,16.604159,POINT (666902.8910993957 7693838.254900304),2026-01-31 15:00:00+00:00
201751,OST097,2026-01-31 16:53:34.114877+00:00,-20.850084,16.604448,POINT (666930.7110049309 7693611.788052386),2026-01-31 16:00:00+00:00
201753,OST097,2026-01-31 17:53:11.214909+00:00,-20.850677,16.60451,POINT (666936.5083983919 7693546.076593843),2026-01-31 17:00:00+00:00
201755,OST097,2026-01-31 18:53:10.189228+00:00,-20.847659,16.602612,POINT (666742.3247478487 7693882.147328731),2026-01-31 18:00:00+00:00
201756,OST097,2026-02-01 17:54:20.968922+00:00,-20.843041,16.603407,POINT (666830.1483390146 7694392.551328458),2026-02-01 17:00:00+00:00
